inverter_id,group_id,r2,mae_kw,rmse_kw,n_samples,success,error_message
INV 04.116,INV 04,0.9902835341393245,0.013968310187189073,0.023508834916056206,8820,True,
INV 04.117,INV 04,0.9904299339650598,0.014366460713586632,0.023490097245510346,9018,True,
INV 04.118,INV 04,0.9859599247194428,0.017658147813629333,0.02790566465213458,8732,True,
INV 04.119,INV 04,0.7974734059087897,0.057858707270453516,0.09674805430141702,8705,True,
INV 04.120,INV 04,0.9892995760275182,0.015411395472786174,0.02474222626526153,8701,True,
INV 01.032,INV 01,0.9726754725498616,0.022288946189759733,0.039872828655716196,8552,True,
INV 01.033,INV 01,0.9769931769550078,0.020013534594165563,0.0359842885271642,8409,True,
INV 01.034,INV 01,0.9746454419765295,0.022226398883692454,0.0383053807195415,8614,True,
INV 01.035,INV 01,0.9747013705656189,0.02089999895467081,0.03814053097585149,8550,True,
INV 01.036,INV 01,0.9744586691269522,0.021291032891508837,0.03825122296559466,8512,True,
INV 01.037,INV 01,0.9739735694059567,0.02255634248408757,0.0386439854955835,8502,True,
INV 01.038,INV 01,0.9757894926828936,0.020177882791190576,0.03737459034047914,8567,True,
INV 01.039,INV 01,0.9753588115434321,0.020220554005627583,0.037500533437271444,8482,True,
INV 01.040,INV 01,0.9734756128164068,0.02212457590361299,0.03892276486675996,8515,True,
INV 01.041,INV 01,0.9730638513236153,0.021450130793040773,0.0393850588167212,8477,True,
INV 01.042,INV 01,0.9767152906826931,0.020581345293063217,0.03656433361278373,8354,True,
INV 01.043,INV 01,0.9743224457723384,0.02171721894514346,0.038511942009841614,8492,True,
INV 01.044,INV 01,0.9762650452542428,0.020177688928785454,0.03710510279523865,8390,True,
INV 01.045,INV 01,0.9738143091174092,0.020884655239419837,0.03878141257032351,8347,True,
INV 01.046,INV 01,0.9742676829658179,0.020776846298626393,0.03853386819997406,8540,True,
INV 01.047,INV 01,0.931033515549567,0.029171274542496555,0.06240825181450076,8458,True,
INV 01.048,INV 01,0.9724220759516584,0.02162141998394268,0.03998802332569506,8377,True,
INV 01.049,INV 01,0.9745369900501176,0.02169205459106967,0.03781494423235825,8562,True,
INV 01.050,INV 01,0.976681605715547,0.021585894177536147,0.03680647213046373,8425,True,
INV 01.051,INV 01,0.9750169816542499,0.021044011811194408,0.03740707058242408,8477,True,
INV 01.052,INV 01,0.9748386589912528,0.021302920813288752,0.037966483124255664,8429,True,
INV 01.053,INV 01,0.9743279893310857,0.02185460814036389,0.038351685175346456,8398,True,
INV 01.054,INV 01,0.9772408571760022,0.020055737480511215,0.03603724912069105,8518,True,
INV 01.055,INV 01,0.9753731146708964,0.02094547961226229,0.03771459958279236,8538,True,
