inverter_id,group_id,success,training_samples,r2,mae_kw,rmse_kw,processing_time_s,error
INV 05.148,INV 05,True,12666,0.9930707717612979,0.014478035387017325,0.01760496892379746,3.229259967803955,
INV 05.142,INV 05,True,13377,0.9930023261790943,0.015083050568724261,0.019138656140798547,3.4045639038085938,
INV 05.143,INV 05,True,13413,0.9929386960131725,0.015079807691819788,0.019116935646193205,3.272104263305664,
INV 02.047,INV 02,True,12419,0.9929026420842082,0.014505686644081727,0.019046968559578912,3.1828720569610596,
INV 02.046,INV 02,True,12808,0.9928483247878171,0.014955847969657614,0.019305641856740833,3.0613038539886475,
INV 03.089,INV 03,True,13796,0.9927610505524196,0.015414111206477078,0.01922505430306409,2.0383501052856445,
INV 01.029,INV 01,True,13694,0.9926842426286071,0.01473938120719382,0.01902579759103987,2.0536718368530273,
INV 01.030,INV 01,True,13726,0.992626216338464,0.014946911989147958,0.018977449498842284,2.037583827972412,
INV 01.015,INV 01,True,13041,0.9926211043564127,0.01531835539589888,0.019579761794839477,3.0946969985961914,
INV 01.017,INV 01,True,13671,0.9926074920041122,0.015040990537687725,0.019301652723976496,3.2628228664398193,
INV 02.033,INV 02,True,13242,0.9925533973069584,0.015662027876165392,0.019895081498668022,3.892078161239624,
INV 04.098,INV 04,True,13643,0.9925494996730875,0.015572863582155332,0.019230964869954313,3.584307909011841,
INV 01.010,INV 01,True,12713,0.9925098023289642,0.0148670456538183,0.01957517979957523,3.19228196144104,
INV 01.013,INV 01,True,13060,0.9925074095174803,0.015004472308273002,0.019600939051289037,3.380037784576416,
INV 01.007,INV 01,True,12686,0.9924898959506281,0.015050709740973878,0.019646075293616276,3.3923051357269287,
INV 03.090,INV 03,True,13683,0.99248932002614,0.014861772904596567,0.019486570085747192,2.173276901245117,
INV 02.039,INV 02,True,13266,0.9924660225934775,0.015813408104478448,0.01995390314158777,3.285799026489258,
INV 04.097,INV 04,True,13576,0.9923905239185455,0.016033744681556078,0.02006122134796038,3.5661282539367676,
INV 01.009,INV 01,True,12916,0.9923742260628534,0.015148799995064457,0.019762292048461517,3.2782928943634033,
INV 01.027,INV 01,True,13749,0.9923716850604437,0.015313866189451611,0.019445700789794892,3.301511764526367,
INV 05.121,INV 05,True,13781,0.9923669546358485,0.015503541316031579,0.01980833890901642,3.5128278732299805,
INV 02.041,INV 02,True,13295,0.9923449879428741,0.016078909577779337,0.020344149016732392,3.529000997543335,
INV 01.011,INV 01,True,12959,0.9923448954365919,0.01534570229225184,0.019999786201847284,3.317707061767578,
INV 01.012,INV 01,True,12947,0.9923139471446029,0.015230301525001181,0.019838974161559185,3.2832229137420654,
INV 02.034,INV 02,True,13216,0.9922714968323377,0.015720245187401085,0.02010566261357649,3.9721641540527344,
INV 04.100,INV 04,True,13580,0.9922108627323692,0.015143158399262667,0.01940050833988471,3.9236719608306885,
INV 02.031,INV 02,True,13114,0.9921961310424636,0.016139701798602704,0.020440247790871786,3.89544415473938,
INV 05.145,INV 05,True,12901,0.9921260351144492,0.015191345643700647,0.019790362730557277,3.3742101192474365,
INV 02.050,INV 02,True,11686,0.9920884621682419,0.014981010633790424,0.019835060543781532,3.3433361053466797,
INV 02.043,INV 02,True,13256,0.9920657869111966,0.01613716222914133,0.020464467821761628,3.343377113342285,
INV 02.032,INV 02,True,13159,0.9920387181397992,0.01599498162904329,0.020510888057271325,4.070531129837036,
INV 01.008,INV 01,True,12731,0.9920355895180137,0.015352249365257628,0.020297937042338256,3.582871913909912,
INV 02.044,INV 02,True,13155,0.992011006097974,0.015850432239335688,0.020475268767616465,3.2882728576660156,
INV 04.105,INV 04,True,13311,0.9920098943020379,0.015755026020521166,0.01986604741805311,3.612704038619995,
INV 02.048,INV 02,True,12094,0.991929281066006,0.015017351708267707,0.020144692777373317,3.132601022720337,
INV 01.024,INV 01,True,13557,0.9919133555793705,0.01571275625668556,0.02023519315225499,3.3031492233276367,
INV 02.049,INV 02,True,11654,0.9918491557228615,0.015088494646270118,0.0199846197403361,3.3123788833618164,
INV 02.036,INV 02,True,13269,0.9918241689718968,0.016150659157800493,0.020746491255062824,3.372584819793701,
INV 02.040,INV 02,True,13123,0.991823152398065,0.016289877281184306,0.02071633564681993,3.467850923538208,
INV 02.042,INV 02,True,13135,0.9918144400290676,0.016645083594252593,0.020852863137020637,3.4291739463806152,
INV 01.006,INV 01,True,11981,0.9917753887795085,0.015117557014509557,0.02024175034331743,3.5755717754364014,
INV 02.045,INV 02,True,13019,0.9917703737220104,0.016285566459145324,0.020764666185577034,3.0821943283081055,
INV 04.102,INV 04,True,13302,0.9917576614599424,0.015918545191574953,0.020310014583314703,3.7600600719451904,
INV 02.054,INV 02,True,10876,0.991717464582676,0.0147203133329308,0.02009186958183771,3.064023733139038,
INV 01.016,INV 01,True,13135,0.9917038198500568,0.01650002157344247,0.020547399531044803,3.0755860805511475,
INV 02.037,INV 02,True,13165,0.9916966258715133,0.016333564680223296,0.02099388495641284,3.4197399616241455,
