inverter_id,group_id,r2,mae_kw,rmse_kw,n_samples,success,error_message
INV 02.041,INV 02,0.9932993766539736,0.014056637654374442,0.01982994903876751,55392,True,
INV 02.042,INV 02,0.9947412248583021,0.01185095508648578,0.017597788340209614,56537,True,
INV 02.043,INV 02,0.9945347881190769,0.011972480056192647,0.018093401353341098,56954,True,
INV 02.044,INV 02,0.9944185692461459,0.012222412882540747,0.01811246473352252,56168,True,
INV 02.045,INV 02,0.994194386296548,0.012421343811949875,0.018461374628467194,55192,True,
INV 03.061,INV 03,0.9949215755452369,0.011347751094213092,0.017503279673238385,58733,True,
INV 03.062,INV 03,0.9946867413031714,0.01163709528027589,0.017768847857977978,57304,True,
INV 03.063,INV 03,0.9942619186577539,0.011953661806814847,0.018145798947639704,57015,True,
INV 03.064,INV 03,0.9942413774868147,0.012111827732809829,0.018299947465957204,56196,True,
INV 03.065,INV 03,0.994257126895707,0.012145365920733063,0.018402438157099424,56308,True,
INV 03.066,INV 03,0.9944009881707583,0.012190406994359002,0.018171267047306195,54368,True,
INV 03.067,INV 03,0.994214885860156,0.012481504824741634,0.018427130977581398,53467,True,
INV 03.068,INV 03,0.9939660818936594,0.012928225070517947,0.018671458193828375,53974,True,
INV 03.069,INV 03,0.9939119039749267,0.01294373448299965,0.018893731158499575,52127,True,
INV 03.070,INV 03,0.9944439584813662,0.01220896173675845,0.0179603747049427,55962,True,
INV 03.071,INV 03,0.9946478139741957,0.012221714540048306,0.017959781256259,56271,True,
INV 03.072,INV 03,0.9947783290511547,0.011935542847699989,0.017684853602664384,57952,True,
INV 03.073,INV 03,0.9949863864026289,0.011480283902819213,0.017399571366099445,60070,True,
INV 03.074,INV 03,0.9952268452569606,0.011045522307329206,0.016965496573466576,60219,True,
INV 03.075,INV 03,0.994831516469198,0.011362532783127342,0.01753479817102465,58262,True,
INV 03.076,INV 03,0.9950636010995453,0.011011076490999633,0.01701274010344707,58632,True,
INV 03.078,INV 03,0.994688960426717,0.011573032887037916,0.017655779580902135,57689,True,
INV 03.079,INV 03,0.9948514042454323,0.01156005485578876,0.01720911899911004,56845,True,
INV 03.080,INV 03,0.9948191363031762,0.011499157465943542,0.017307887714624437,56185,True,
INV 03.081,INV 03,0.9940493633505473,0.012437153744389334,0.01838386603354208,55900,True,
INV 03.082,INV 03,0.994237058565427,0.012451826513854226,0.018295882284498813,52428,True,
INV 03.083,INV 03,0.9943034957320591,0.012185172424636353,0.018149868867121777,56390,True,
INV 03.084,INV 03,0.9941778190254825,0.012474890342742614,0.018305077208359416,55089,True,
INV 03.085,INV 03,0.9946547581551416,0.011899767402601737,0.017575364707151014,56487,True,
INV 03.086,INV 03,0.9945661303398933,0.012172314555612032,0.017919370181411362,56364,True,
INV 03.087,INV 03,0.9946269321745548,0.011973031286276286,0.017825609384096795,57480,True,
INV 03.088,INV 03,0.9949824092401709,0.011440298514221006,0.01737489102285972,58855,True,
INV 03.089,INV 03,0.994646817653393,0.011836955710061067,0.01791317971814996,60009,True,
INV 03.090,INV 03,0.9950563268775064,0.011041802190931215,0.017372993075672794,58429,True,
INV 04.091,INV 04,0.9940862968746472,0.012703655749201176,0.01835230994920649,62186,True,
INV 04.092,INV 04,0.9948570907887875,0.01150619641610231,0.017373831944557876,61475,True,
INV 04.093,INV 04,0.9952213857186657,0.010890819704924427,0.016659659182219323,61007,True,
INV 04.094,INV 04,0.9954107591732189,0.010535509772481917,0.016377271521020812,61145,True,
INV 04.095,INV 04,0.9939349926574113,0.012403912151796955,0.01870334568395142,58137,True,
INV 04.096,INV 04,0.9954399135155922,0.010918905668914108,0.016377532613920495,60472,True,
INV 04.097,INV 04,0.9952449715276684,0.011106012376406443,0.016570188983653644,60762,True,
